Participant_ID,SQ02,SQ03,SQ04,SQ05,SQ06,SQ07,SQ08,SQ09,SQ10,SQ11,SQ12,SQ13,SQ14,SQ15,SQ16,SQ17,SQ18,SQ19,SQ20,SQ21,SQ22,SQ23,SQ24,SQ25,SQ26,SQ27,SQ28,SQ29,SQ30
P11,Graduação,Menos de 1 ano,Pesquisador,Robótica,Brasil,"Estabilidade, Flexibilidade, Legibilidade do código","Refatoração de código, Gerenciamento de configuração","Integração de novas tecnologias, Limitações de hardware",Não,"Refatoração de código, Análise de obsolescência, Testes automatizados","Maior eficiência, Redução de custos, Melhoria na qualidade do software","Vivado, Git/GitHub",Eficaz,Não,,"Falta de ferramentas adequadas, Complexidade do código, Restrições de tempo","Treinamento adicional, Colaboração com outros especialistas, Automação de processos",Facilita,"Planejamento, Implementação, Testes",,"Previsão de problemas futuros, Coordenação entre equipes, Integração de novas tecnologias",Sim,,"Tempo de manutenção, Eficácia das ferramentas, Desempenho em tempo real","Testes específicos, Avaliação manual, Benchmarking","Falta de ferramentas, Complexidade das métricas",Sim,"Customização de sprints, Integração contínua, Ajustes na documentação, Redefinição de papéis",Aumento da colaboração
P12,Mestrado,1-3 anos,Engenheiro de Software,Telecomunicações,Brasil,"Eficiência, Flexibilidade, Facilidade de Integração, Segurança","Refatoração de código, Revisão de código, Gerenciamento de configuração","Complexidade do design, Limitações de hardware, Falta de documentação",Não,"Refatoração de código, Gerenciamento de configuração, Testes automatizados, Revisão da dívida técnica","Redução de custos, Melhoria na qualidade do software, Redução de defeitos","Jenkins, Git/GitHub",Neutro,Não,,"Falta de ferramentas adequadas, Restrições de tempo","Ferramentas especializadas, Colaboração com outros especialistas, Automação de processos, Melhoria na documentação",Depende das tecnologias,"Implementação, Testes, Descontinuação",,"Alocação de recursos, Identificação de requisitos, Coordenação entre equipes",Sim,,"Redução de defeitos, Eficácia das ferramentas, Desempenho em tempo real","Ferramentas de monitoramento, Benchmarking","Variedade de sistemas, Resistência da equipe",Sim,"Customização de sprints, Integração contínua, Ajustes na documentação","Maior flexibilidade, Aumento da colaboração"
P13,Especialização,1-3 anos,Engenheiro de Software,Meios de Pagamento,Brasil,"Estabilidade, Segurança, Legibilidade do código","Refatoração de código, Revisão de código, Análise de obsolescência","Integração de novas tecnologias, Limitações de hardware, Falta de documentação",Não,"Refatoração de código, Testes automatizados, Revisão da dívida técnica","Maior eficiência, Melhoria na qualidade do software, Redução de defeitos","LLVM, Git/GitHub",Neutro,Não,-,"Falta de ferramentas adequadas, Complexidade do código, Falta de treinamento","Treinamento adicional, Colaboração com outros especialistas, Melhoria na documentação",Depende das tecnologias,"Planejamento, Requisitos, Design, Implementação","Planejamento - Se não levar em consideração a manutenção do código afeta as demais áreas gerando retrabalho;
Requisitos - deve-se levar em consideração os requisitos funcionais da aplicação.
Design - Ao modelar o sistema embarcado, deve-se levar em consideração a arquitetura proposta, que seja de fácil manutenção, escalável e que adição, refatoração de módulos seja mais simples, evitar o acoplamento excessivo do software.
Implementação - Ao implementar, deve-se respeitar a arquitetura proposta no Design do sistema proposto.","Previsão de problemas futuros, Coordenação entre equipes, Integração de novas tecnologias",Sim,"Mudanças de escopo do projeto, adição de novas funcionalidades inicialmente não identificadas, a 'pressa' para entregar a solução sem definir corretamente a arquitetura proposta da solução.","Qualidade do código, Tempo de manutenção, Desempenho em tempo real","Ferramentas de monitoramento, Testes específicos, Benchmarking",Falta de ferramentas,Sim,"Customização de sprints, Integração contínua","Melhor resposta a mudanças, Aumento da colaboração"
P14,Graduação,1-3 anos,Engenheiro de Software,segurança,br,"Facilidade de Integração, Segurança, Legibilidade do código","Refatoração de código, Revisão de código, Gerenciamento de configuração","Integração de novas tecnologias, Limitações de hardware, Falta de documentação",Não,"Inspeção de código, Refatoração de código, Gerenciamento de configuração, Testes automatizados, Revisão da dívida técnica",n/a,Git/GitHub,Neutro,Não,,Restrições de orçamento,"Treinamento adicional, Colaboração com outros especialistas",Depende das tecnologias,"Requisitos, Design, Implementação, Testes","todas as fases sao direta, ou indiretamente afetadas",Integração de novas tecnologias,Não,,"Qualidade do código, Tempo de manutenção, Eficácia das ferramentas, Desempenho em tempo real, Consumo de energia","Ferramentas de monitoramento, Testes específicos, Avaliação manual, Benchmarking",n/a,Sim,nenhuma,"Maior flexibilidade, Melhor resposta a mudanças, Redução de retrabalho"
P15,Graduação,1-3 anos,Gerente de Projetos,Robótica,Brasil ,"Estabilidade, Flexibilidade, Legibilidade do código",Revisão de código,"Complexidade do design, Falta de documentação",Não,"Inspeção de código, Refatoração de código, Testes automatizados",Maior eficiência,Git/GitHub,Pouco eficaz,Não,,"Complexidade do código, Restrições de tempo",Colaboração com outros especialistas,Facilita,Implementação,,"Previsão de problemas futuros, Identificação de requisitos",Sim,,"Qualidade do código, Tempo de manutenção",Testes específicos,Falta de ferramentas,Não,Customização de sprints,Maior flexibilidade
P16,Mestrado,3-5 anos,Engenheiro de Manufatura,Automotivo,Brasil,"Estabilidade, Eficiência, Segurança","Revisão de código, Testes automatizados","Integração de novas tecnologias, Falta de documentação",Não,"Inspeção de código, Análise de obsolescência, Gerenciamento de configuração","Maior eficiência, Melhoria na coordenação de processos, Melhoria na qualidade do software",Git/GitHub,Eficaz,Não,,"Falta de treinamento, Restrições de orçamento","Ferramentas especializadas, Colaboração com outros especialistas",Depende das tecnologias,"Implementação, Testes",,"Previsão de problemas futuros, Alocação de recursos",Sim,,"Tempo de manutenção, Redução de defeitos, Desempenho em tempo real","Testes específicos, Avaliação manual","Variedade de sistemas, Resistência da equipe",Não,Treinamento adequado para a equipe,Melhor resposta a mudanças
P17,Mestrado,5-10 anos,Analista de Infraestrutura ,Educação e Treinamento,Brasil,"Estabilidade, Segurança","Gerenciamento de configuração, Somente corretiva.","Integração de novas tecnologias, Falta de documentação, ",Não,"Análise de obsolescência, Gerenciamento de configuração","Maior eficiência, Redução de defeitos",Git/GitHub,Eficaz,Não,,"Restrições de tempo, Falta de treinamento, Restrições de orçamento, Dificuldade de simular o comportamento do hardware",Não consigo superar as dificuldades. ,Depende das tecnologias,"Implementação, Testes",A manutenção pode exigir que haja atualizações ou reconfiguração no software embarcado e exige que os planos de testes sejam revisados para garantir sua cobertura. ,"Previsão de problemas futuros, Alocação de recursos, Identificação de requisitos",Sim,,"Redução de defeitos, Desempenho em tempo real, Consumo de energia","Avaliação manual, Feedback dos clientes","Complexidade das métricas, Dificuldade em medir as métricas em ambientes de desenvolvimento. ",Não,Aumentar a equipe (atualmente sou apenas eu),"Maior flexibilidade, Melhor resposta a mudanças"
P18,Mestrado,1-3 anos,Engenheiro de Software,Finanças,Brasil,"Eficiência, Facilidade de Integração, Legibilidade do código","Refatoração de código, Revisão de código, Gerenciamento de configuração","Integração de novas tecnologias, Complexidade do design, Limitações de hardware",Não,"Inspeção de código, Refatoração de código, Análise de obsolescência","Maior eficiência, Melhoria na qualidade do software, Redução de defeitos",Git/GitHub,Eficaz,Não,,"Complexidade do código, Restrições de tempo","Treinamento adicional, Ferramentas especializadas",Depende das tecnologias,"Planejamento, Implementação, Testes",,"Previsão de problemas futuros, Identificação de requisitos, Coordenação entre equipes, Integração de novas tecnologias",Sim,,"Qualidade do código, Tempo de manutenção, Redução de defeitos","Ferramentas de monitoramento, Testes específicos","Falta de ferramentas, Complexidade das métricas",Sim,"Customização de sprints, Integração contínua","Maior flexibilidade, Melhor resposta a mudanças, Redução de retrabalho"
P19,Graduação,1-3 anos,Engenheiro de Software,Telecomunicações,Irlanda,"Estabilidade, Eficiência, Segurança","Refatoração de código, Revisão de código","Complexidade do design, Falta de documentação",Não,"Análise de obsolescência, Testes automatizados, Revisão da dívida técnica","Melhoria na qualidade do software, Redução de defeitos",Git/GitHub,Muito eficaz,Não,,"Complexidade do código, Falta de treinamento","Treinamento adicional, Melhoria na documentação",Depende das tecnologias,"Implementação, Descontinuação",,"Previsão de problemas futuros, Integração de novas tecnologias",Sim,Alta,"Qualidade do código, Tempo de manutenção, Redução de defeitos",Ferramentas de monitoramento,"Variedade de sistemas, Complexidade das métricas",Sim,"Customização de sprints, Ajustes na documentação",Melhor resposta a mudanças
P20,Graduação,1-3 anos,Engenheiro de Software,Telecomunicações,Irlanda,"Eficiência, Facilidade de Integração","Revisão de código, Gerenciamento de configuração","Integração de novas tecnologias, Falta de documentação",Não,"Análise de obsolescência, Gerenciamento de configuração","Redução de custos, Redução de defeitos",Git/GitHub,Eficaz,Não,,"Falta de ferramentas adequadas, Falta de treinamento","Treinamento adicional, Ferramentas especializadas",Dificulta,"Implementação, Testes",,"Previsão de problemas futuros, Alocação de recursos",Sim,Quase todos os projetos que trabalhei.,"Qualidade do código, Redução de defeitos",Avaliação manual,Complexidade das métricas,Sim,"Customização de sprints, Ajustes na documentação","Maior flexibilidade, Melhor resposta a mudanças"
P21,Mestrado,3-5 anos,Pesquisador,Saúde,Brasil,"Estabilidade, Facilidade de Integração, Legibilidade do código","Refatoração de código, Revisão de código","Integração de novas tecnologias, Falta de documentação",Não,"Inspeção de código, Refatoração de código, Testes automatizados","Melhoria na qualidade do software, Redução de defeitos",Git/GitHub,Eficaz,Não,,"Falta de ferramentas adequadas, Complexidade do código","Colaboração com outros especialistas, Melhoria na documentação",Depende das tecnologias,"Design, Implementação, Testes","Mudanças nos requisitos podem exigir revisões no design, como modificar a arquitetura ou adicionar novos componentes, interfaces ou módulos ao sistema. Correção de bugs, melhorias no desempenho ou a inclusão de novas funcionalidades pode levar a modificações significativas no código-fonte. Cada alteração no código ou na arquitetura requer a revisão e a reexecução dos testes. O software embarcado, em particular, deve ser testado em ambientes reais para garantir que funcione corretamente com o hardware.","Previsão de problemas futuros, Coordenação entre equipes, Integração de novas tecnologias",Sim,Em quase todos os projetos que trabalhei.,"Qualidade do código, Tempo de manutenção, Redução de defeitos","Testes específicos, Avaliação manual","Complexidade das métricas, Resistência da equipe",Sim,"Customização de sprints, Ajustes na documentação","Maior flexibilidade, Melhor resposta a mudanças"
P22,Ensino Técnico,5-10 anos,Engenheiro de Software,Robótica,Brasil,"Facilidade de Integração, Segurança","Refatoração de código, Revisão de código, Análise de obsolescência","Limitações de hardware, Falta de documentação",Não,"Inspeção de código, Refatoração de código, Análise de obsolescência","Redução de custos, Redução de defeitos",Git/GitHub,Eficaz,Não,,"Falta de treinamento, Restrições de orçamento","Treinamento adicional, Melhoria na documentação",Não tenho certeza,"Design, Implementação","A integração de novas funcionalidades pode demandar ajustes no design para garantir que o software continue operando de forma eficiente e segura, especialmente em sistemas com restrições rígidas de recursos. O processo de distribuição e instalação de atualizações pode ser afetado por limitações de comunicação ou de hardware, exigindo novos métodos para realizar deploys sem afetar a operação contínua.","Previsão de problemas futuros, Coordenação entre equipes",Sim,"Em alguns projetos sim, frequência baixa.","Desempenho em tempo real, Consumo de energia",Ferramentas de monitoramento,"Variedade de sistemas, Complexidade das métricas",Não,Ajustes na documentação,Melhor resposta a mudanças
P23,Mestrado,3-5 anos,Engenheiro de Software,Educação e Treinamento,Brasil,"Estabilidade, Eficiência","Refatoração de código, Revisão de código","Complexidade do design, Falta de documentação",Não,"Análise de obsolescência, Revisão da dívida técnica","Redução de custos, Melhoria na qualidade do software",Git/GitHub,Muito eficaz,Não,,"Falta de ferramentas adequadas, Restrições de tempo","Ferramentas especializadas, Colaboração com outros especialistas",Dificulta,"Design, Implementação",,"Coordenação entre equipes, Integração de novas tecnologias",Sim,Alta,"Redução de defeitos, Eficácia das ferramentas",Testes específicos,Resistência da equipe,Sim,"Customização de sprints, Ajustes na documentação",Maior flexibilidade
P24,Doutorado,3-5 anos,Gerente de Projetos,Automotivo,Argentina,"Flexibilidade, Segurança","Revisão de código, Análise de obsolescência","Falta de documentação, Retrabalho frequente",Não,"Análise de obsolescência, Testes automatizados","Melhoria na qualidade do software, Redução de defeitos",Git/GitHub,Muito eficaz,Não,,"Restrições de tempo, Falta de treinamento","Treinamento adicional, Ferramentas especializadas",Dificulta,"Implementação, Testes, Descontinuação",,"Coordenação entre equipes, Integração de novas tecnologias",Sim,Muita,"Redução de defeitos, Desempenho em tempo real","Ferramentas de monitoramento, Avaliação manual","Complexidade das métricas, Resistência da equipe",Não,"Customização de sprints, Ajustes na documentação",Melhor resposta a mudanças
P25,Doutorado,Mais de 10 anos,Pesquisador,Robótica,Brasil,"Eficiência, Flexibilidade","Refatoração de código, Revisão de código","Integração de novas tecnologias, Complexidade do design",Não,"Testes automatizados, Revisão da dívida técnica","Melhoria na qualidade do software, Redução de defeitos",Git/GitHub,Eficaz,Não,,"Complexidade do código, Restrições de tempo","Treinamento adicional, Melhoria na documentação",Depende das tecnologias,"Implementação, Testes",,"Previsão de problemas futuros, Integração de novas tecnologias",Não,alta,"Desempenho em tempo real, Consumo de energia","Avaliação manual, Benchmarking","Falta de ferramentas, Resistência da equipe",Sim,"Customização de sprints, Ajustes na documentação","Melhor resposta a mudanças, Redução de retrabalho"
P26,Mestrado,3-5 anos,Engenheiro de Software,Automotivo,Argentina,"Facilidade de Integração, Legibilidade do código","Gerenciamento de configuração, Testes automatizados","Falta de documentação, Retrabalho frequente",Não,"Testes automatizados, Revisão da dívida técnica","Melhoria na qualidade do software, Redução de defeitos",Git/GitHub,Neutro,Não,,"Falta de treinamento, Restrições de orçamento","Automação de processos, Melhoria na documentação",Não tenho certeza,"Implementação, Testes, Descontinuação",,"Coordenação entre equipes, Integração de novas tecnologias",Sim,Baixa,"Desempenho em tempo real, Consumo de energia","Avaliação manual, Benchmarking","Complexidade das métricas, Resistência da equipe",Não,"Customização de sprints, Ajustes na documentação","Aumento da colaboração, Redução de retrabalho"
P27,Graduação,3-5 anos,Pesquisador,Robótica,Brasil,Eficiência,Testes automatizados,"Limitações de hardware, Falta de documentação",Não,Testes automatizados,Melhoria na coordenação de processos,Git/GitHub,Pouco eficaz,Não,,Falta de treinamento,"Treinamento adicional, Colaboração com outros especialistas",Facilita,Requisitos,Pouca informação ,"Alocação de recursos, Identificação de requisitos",Sim,,Desempenho em tempo real,Avaliação manual,Variedade de sistemas,Não,Integração contínua,Melhor resposta a mudanças
P28,Graduação,1-3 anos,Engenheiro de Software,Telecomunicações,Brasil,"Flexibilidade, Legibilidade do código","Refatoração de código, Revisão de código",Integração de novas tecnologias,Não,"Inspeção de código, Refatoração de código","Redução de custos, Melhoria na qualidade do software",Git/GitHub,Eficaz,Não,,"Falta de treinamento, Restrições de orçamento",Treinamento adicional,Depende das tecnologias,"Implementação, Testes, Descontinuação",,"Previsão de problemas futuros, Integração de novas tecnologias",Sim,Alta,"Qualidade do código, Redução de defeitos",Avaliação manual,Resistência da equipe,Sim,Ajustes na documentação,Redução de retrabalho
P29,Especialização,3-5 anos,Engenheiro de Software,Aeroespacial,Brazil,"Estabilidade, Flexibilidade, Facilidade de Integração, Segurança, Legibilidade do código","Revisão de código, Gerenciamento de configuração, Testes automatizados, Analise de Arquitetura","Integração de novas tecnologias, Complexidade do design, Falta de documentação, Retrabalho frequente",Não,"Inspeção de código, Análise de obsolescência, Gerenciamento de configuração, Testes automatizados","Maior eficiência, Melhoria na coordenação de processos, Redução de custos, Melhoria na qualidade do software, Rastreamento de evolução temporal do projeto","Jenkins, Git/GitHub",Eficaz,Não,,"Falta de ferramentas adequadas, Complexidade do código, Restrições de tempo, Restrições de orçamento","Treinamento adicional, Colaboração com outros especialistas, Automação de processos, Melhoria na documentação",Depende das tecnologias,"Planejamento, Implementação, Testes, Descontinuação","A manutenção de código em si afeta preferencialmente testes e alguns modos de implementação, contudo se a manutenção gerar alterações de arquitetura ou geral daí ja mexe com implementação, design e talvez até gere descontinuação do projeto","Previsão de problemas futuros, Alocação de recursos, Coordenação entre equipes, Integração de novas tecnologias",Sim,,"Qualidade do código, Tempo de manutenção, Eficácia das ferramentas, Desempenho em tempo real","Ferramentas de monitoramento, Testes específicos, Benchmarking, bancada de ensaio por dispositivo","Complexidade das métricas, Resistência da equipe",Sim,"Customização de sprints, Integração contínua, Ajustes na documentação, Redefinição de papéis, Ajuste de prazo e entrega com entendimento da complexidade das atividades","Atualmente vejo mais como métricas, flexibilidade é reduzida e a colaboração é pouco medida pelo scrum"
P30,Graduação,Mais de 10 anos,CTO,Monitoramento ambiental,Brasil,"Flexibilidade, Legibilidade do código","Refatoração de código, Revisão de código, Testes automatizados","Integração de novas tecnologias, Falta de documentação",Não,"Inspeção de código, Refatoração de código, Análise de obsolescência, Testes automatizados, Revisão da dívida técnica","Maior eficiência, Melhoria na qualidade do software",Git/GitHub,Eficaz,Não,,"Complexidade do código, Restrições de tempo, Falta de treinamento","Treinamento adicional, Ferramentas especializadas, Colaboração com outros especialistas, Automação de processos, Melhoria na documentação",Depende das tecnologias,"Planejamento, Requisitos, Design, Implementação, Testes, Descontinuação",,"Previsão de problemas futuros, Identificação de requisitos, Coordenação entre equipes, Integração de novas tecnologias",Sim,"No começo bastante, mas agora com mais experiencia o levantamento de requisitos bem feito ajuda na redução de retrabalhos","Redução de defeitos, Eficácia das ferramentas, Desempenho em tempo real, Consumo de energia","Ferramentas de monitoramento, Testes específicos",Resistência da equipe,Sim,"Customização de sprints, Integração contínua, Ajustes na documentação, Redefinição de papéis","Maior flexibilidade, Melhor resposta a mudanças"
